"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1970","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.000000039,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1971","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.0000000389,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1972","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",40.0333947484,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1973","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",38.262349999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1974","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1975","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1976","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1977","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.999999999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1978","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",37.053749999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1979","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",36.020674999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1980","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",35.9962416657,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1981","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",36.848499999,"Exchange Rate, Standardized"
"country/TWN","TW","Taiwan","ExchangeRate_Currency_Standardized","1982","FAO_Currency","https://www.fao.org/faostat/en/#data/PE/metadata","","","",39.123999999,"Exchange Rate, Standardized"
